peakID	chrom	start	end	PeakLength	peakMtoStart_Overlap	type	BidirenctionalRegion	Chr	TSS	TTS	strand	gene_name	source	transID
Peak_59951	chr14	19003706	19004370	664	373484	Nearest	N	chr14	19377522	19378606	+	OR11H12	protein_coding	ENSG00000257115.1
Peak_59951	chr14	19003706	19004370	664	-106165	Neighbor	N	chr14	19110203	19118336	+	RP11-754I20.1	pseudogene	ENSG00000215398.7
Peak_59951	chr14	19003706	19004370	664	-115477	Neighbor	N	chr14	19119515	19119621	+	RNU6-458P	snRNA	ENSG00000206906.1
Peak_59952	chr14	19003800	19024138	20338	363553	Nearest	N	chr14	19377522	19378606	+	OR11H12	protein_coding	ENSG00000257115.1
Peak_59952	chr14	19003800	19024138	20338	-96234	Neighbor	N	chr14	19110203	19118336	+	RP11-754I20.1	pseudogene	ENSG00000215398.7
Peak_59952	chr14	19003800	19024138	20338	-105546	Neighbor	N	chr14	19119515	19119621	+	RNU6-458P	snRNA	ENSG00000206906.1
Peak_59953	chr14	19005068	19005305	237	372336	Nearest	N	chr14	19377522	19378606	+	OR11H12	protein_coding	ENSG00000257115.1
Peak_59953	chr14	19005068	19005305	237	-105017	Neighbor	N	chr14	19110203	19118336	+	RP11-754I20.1	pseudogene	ENSG00000215398.7
Peak_59953	chr14	19005068	19005305	237	-114329	Neighbor	N	chr14	19119515	19119621	+	RNU6-458P	snRNA	ENSG00000206906.1
Peak_59954	chr14	19006372	19006587	215	371043	Nearest	N	chr14	19377522	19378606	+	OR11H12	protein_coding	ENSG00000257115.1
Peak_59954	chr14	19006372	19006587	215	-103724	Neighbor	N	chr14	19110203	19118336	+	RP11-754I20.1	pseudogene	ENSG00000215398.7
Peak_59954	chr14	19006372	19006587	215	-113036	Neighbor	N	chr14	19119515	19119621	+	RNU6-458P	snRNA	ENSG00000206906.1
Peak_59955	chr14	19013301	19013534	233	364105	Nearest	N	chr14	19377522	19378606	+	OR11H12	protein_coding	ENSG00000257115.1
Peak_59955	chr14	19013301	19013534	233	-96786	Neighbor	N	chr14	19110203	19118336	+	RP11-754I20.1	pseudogene	ENSG00000215398.7
Peak_59955	chr14	19013301	19013534	233	-106098	Neighbor	N	chr14	19119515	19119621	+	RNU6-458P	snRNA	ENSG00000206906.1
